Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
1/5/16,4261,4580,0,21446,1712,2300,860888,1340,8664,1139,0,1712,44%,6.5,0:05:09,0,0,0,0%,18317,7623,1710,1301,997,840,422,251,17237,0.96s,50%,4.7,0:03:08
1/6/16,3931,4218,0,18734,1529,2117,802837,1271,6792,1094,0,472,45%,5.3,0:04:05,0,0,0,0%,15921,7197,1625,1207,850,687,338,196,14849,1.13s,50%,4.4,0:03:10
1/7/16,4173,4456,0,22970,2034,2212,880416,1370,10232,1205,0,2034,42%,7.5,0:05:01,0,0,0,0%,19939,7632,1881,1443,852,705,298,210,18408,1.29s,50%,5.2,0:03:18
1/8/16,3606,3861,0,16151,1588,1981,722464,1160,6698,1018,0,1588,46%,5.8,0:04:31,0,0,0,0%,13719,6407,1455,1134,719,580,258,165,12454,1s,51%,4.2,0:03:07
1/9/16,2327,2497,0,9932,341,1367,400874,678,3306,581,0,331,57%,4.9,0:03:00,0,0,0,0%,8430,3638,919,668,440,367,143,92,7709,1.21s,55%,4,0:02:41
1/10/16,2395,2537,0,6803,108,1398,398769,627,1809,552,0,108,54%,2.9,0:02:59,0,0,0,0%,5233,3721,1066,744,399,351,105,71,4719,0.76s,55%,2.7,0:02:37
1/11/16,3823,4066,0,13735,1575,2051,819245,1195,4492,1052,0,442,45%,3.8,0:05:14,0,0,0,0%,11208,7017,1348,1044,850,668,329,228,10227,0.62s,50%,3.4,0:03:21
1/12/16,3700,3935,0,12777,1288,2035,764795,1097,5469,956,0,1288,46%,5,0:05:26,0,0,0,0%,10188,6542,1540,1186,783,628,266,189,9343,0.61s,52%,3.2,0:03:14
1/13/16,3704,3952,0,12937,1398,2016,821015,1147,4073,1007,0,503,47%,3.6,0:04:36,0,0,0,0%,10244,6507,1555,1216,833,655,305,199,9334,0.6s,51%,3.3,0:03:28
1/14/16,3590,3835,0,12975,1411,1933,798039,1090,5371,956,0,1411,46%,4.9,0:05:55,0,0,0,0%,10166,6423,1687,1310,838,669,284,192,9241,0.61s,50%,3.4,0:03:28
1/15/16,3417,3660,0,12822,1353,1816,780416,1083,3519,934,0,341,48%,3.2,0:04:24,0,0,0,0%,9642,6149,2102,1739,824,651,254,173,8729,0.61s,50%,3.5,0:03:33
1/16/16,2340,2499,0,6356,83,1383,416122,646,1673,562,0,56,55%,2.6,0:03:54,0,0,0,0%,4759,3560,1073,770,436,358,88,57,4286,0.81s,55%,2.5,0:02:47
1/17/16,2408,2567,0,6381,49,1428,347276,598,1481,517,0,48,54%,2.5,0:03:14,0,0,0,0%,4830,3564,1011,724,412,343,128,95,4236,0.79s,56%,2.5,0:02:15
1/18/16,3395,3626,0,10013,59,1822,557076,937,2788,798,0,36,45%,3,0:03:24,0,0,0,0%,7503,5678,1522,1138,756,579,232,159,6666,0.71s,50%,2.8,0:02:34
1/19/16,3826,4110,0,14958,1613,2013,846709,1267,5948,1095,0,1613,44%,4.7,0:04:49,0,0,0,0%,10970,7061,2707,2214,939,752,342,218,9936,0.62s,49%,3.6,0:03:26
1/20/16,3884,4147,0,14091,1506,2043,857073,1256,5994,1103,0,1506,43%,4.8,0:05:11,0,0,0,0%,11199,7115,1657,1249,889,735,346,232,10333,0.6s,49%,3.4,0:03:27
1/21/16,3691,3930,0,13443,1496,1920,793803,1171,5712,1020,0,1496,45%,4.9,0:05:07,0,0,0,0%,10517,6678,1792,1315,858,713,276,186,9581,0.62s,49%,3.4,0:03:22
1/22/16,3253,3501,0,11852,1301,1715,767026,1138,4905,975,0,1301,45%,4.3,0:04:46,0,0,0,0%,9487,5933,1277,951,807,663,281,182,8633,0.63s,49%,3.4,0:03:39
